league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
ESP-La Liga,9394,Logroñés,22,26.4,,38,,3420,38,,,,,,,79,,,,,,,/en/squads/696c8d95/1993-1994/Logrones-Stats
ESP-La Liga,9394,Osasuna,24,26.6,,38,,3420,38,,,,,,,93,,,,,,,/en/squads/03c57e2b/1993-1994/Osasuna-Stats
ESP-La Liga,9394,Oviedo,24,26.9,,38,,3420,38,,,,,,,97,,,,,,,/en/squads/ab358912/1993-1994/Oviedo-Stats
ESP-La Liga,9394,Racing Sant,21,26.9,,38,,3420,38,,,,,,,88,,,,,,,/en/squads/dee3bbc8/1993-1994/Racing-Santander-Stats
ESP-La Liga,9394,Rayo Vallecano,24,26.4,,38,,3420,38,,,,,,,120,,,,,,,/en/squads/98e8af82/1993-1994/Rayo-Vallecano-Stats
ESP-La Liga,9394,Real Madrid,24,26.7,,38,,3420,38,,,,,,,81,,,,,,,/en/squads/53a2f082/1993-1994/Real-Madrid-Stats
ESP-La Liga,9394,Real Sociedad,24,26.9,,38,,3420,38,,,,,,,76,,,,,,,/en/squads/e31d1cd9/1993-1994/Real-Sociedad-Stats
ESP-La Liga,9394,Sevilla,21,26.4,,38,,3420,38,,,,,,,109,,,,,,,/en/squads/ad2be733/1993-1994/Sevilla-Stats
ESP-La Liga,9394,Sporting Gijón,26,24.4,,38,,3420,38,,,,,,,58,,,,,,,/en/squads/bb9efd50/1993-1994/Sporting-Gijon-Stats
ESP-La Liga,9394,Tenerife,21,26.2,,38,,3420,38,,,,,,,90,,,,,,,/en/squads/27cc9c62/1993-1994/Tenerife-Stats
ESP-La Liga,9394,Valencia,28,27.1,,38,,3420,38,,,,,,,94,,,,,,,/en/squads/dcc91a7b/1993-1994/Valencia-Stats
ESP-La Liga,9394,Valladolid,24,25.0,,38,,3420,38,,,,,,,83,,,,,,,/en/squads/17859612/1993-1994/Valladolid-Stats
ESP-La Liga,9394,Zaragoza,21,26.0,,38,,3420,38,,,,,,,120,,,,,,,/en/squads/800303a0/1993-1994/Zaragoza-Stats
ESP-La Liga,9495,Albacete,25,25.8,,38,,3420,38,,,,,,,113,,,,,,,/en/squads/b7e3e46e/1994-1995/Albacete-Stats
ESP-La Liga,9495,Athletic Club,21,24.7,,38,,3420,38,,,,,,,99,,,,,,,/en/squads/2b390eca/1994-1995/Athletic-Club-Stats
ESP-La Liga,9495,Atlético Madrid,24,26.7,,38,,3420,38,,,,,,,114,,,,,,,/en/squads/db3b9613/1994-1995/Atletico-Madrid-Stats
ESP-La Liga,9495,Barcelona,26,26.3,,38,,3420,38,,,,,,,96,,,,,,,/en/squads/206d90db/1994-1995/Barcelona-Stats
ESP-La Liga,9495,Celta Vigo,22,26.8,,38,,3420,38,,,,,,,100,,,,,,,/en/squads/f25da7fb/1994-1995/Celta-Vigo-Stats
ESP-La Liga,9495,Compostela,25,28.0,,38,,3420,38,,,,,,,96,,,,,,,/en/squads/63505675/1994-1995/Compostela-Stats
ESP-La Liga,9495,Dep La Coruña,21,28.8,,38,,3420,38,,,,,,,66,,,,,,,/en/squads/2a60ed82/1994-1995/Deportivo-La-Coruna-Stats
ESP-La Liga,9495,Espanyol,22,24.8,,38,,3420,38,,,,,,,79,,,,,,,/en/squads/a8661628/1994-1995/Espanyol-Stats
ESP-La Liga,9495,Logroñés,33,25.1,,38,,3420,38,,,,,,,75,,,,,,,/en/squads/696c8d95/1994-1995/Logrones-Stats
ESP-La Liga,9495,Oviedo,23,26.1,,38,,3420,38,,,,,,,94,,,,,,,/en/squads/ab358912/1994-1995/Oviedo-Stats
ESP-La Liga,9495,Racing Sant,22,26.1,,38,,3420,38,,,,,,,98,,,,,,,/en/squads/dee3bbc8/1994-1995/Racing-Santander-Stats
ESP-La Liga,9495,Real Betis,20,26.3,,38,,3420,38,,,,,,,79,,,,,,,/en/squads/fc536746/1994-1995/Real-Betis-Stats
