,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Home_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsScored_Last5,Away_GoalsConceded_Last5
167,Tenerife,Ath Bilbao,3,2,H,2.0,1.0,H,1.8,1.6,1.6,1.6
168,Sp Gijon,Betis,2,3,A,1.0,0.0,H,0.8,1.0,1.6,1.0
169,Sociedad,Compostela,0,1,A,0.0,1.0,A,1.2,1.6,1.6,1.6
170,Sevilla,Oviedo,1,1,D,0.0,1.0,A,1.8,1.4,1.0,1.0
171,Espanol,Real Madrid,3,1,H,1.0,0.0,H,1.0,0.4,1.6,1.0
172,Celta,Vallecano,2,0,H,1.0,0.0,H,0.6,0.8,0.8,0.6
173,Albacete,Salamanca,3,3,D,1.0,1.0,D,0.4,2.0,1.6,1.4
174,La Coruna,Zaragoza,2,3,A,1.0,2.0,A,1.0,0.4,0.4,1.4
175,Barcelona,Sp Gijon,1,0,H,1.0,0.0,H,1.4,1.2,1.2,1.4
176,Betis,Sevilla,1,1,D,0.0,0.0,D,1.6,0.8,1.4,1.0
177,Tenerife,Albacete,1,3,A,1.0,1.0,D,1.8,1.4,1.0,2.4
178,Zaragoza,Valladolid,5,3,H,3.0,1.0,H,1.0,1.6,0.8,1.8
179,Vallecano,La Coruna,0,6,A,0.0,3.0,A,0.6,0.6,1.4,1.0
180,Salamanca,Sociedad,3,3,D,3.0,1.0,H,2.0,1.2,0.8,1.2
181,Valencia,Ath Madrid,0,1,A,0.0,0.0,D,1.6,1.6,1.4,0.8
182,Oviedo,Espanol,1,2,A,1.0,1.0,D,1.0,1.2,1.4,0.6
183,Ath Bilbao,Merida,1,1,D,0.0,0.0,D,1.8,1.6,0.2,1.8
184,Real Madrid,Celta,1,0,H,1.0,0.0,H,1.2,1.2,1.0,0.2
185,Compostela,Santander,2,0,H,0.0,0.0,D,1.4,0.6,0.8,1.2
186,Albacete,Ath Bilbao,2,0,H,0.0,0.0,D,1.6,2.6,1.4,1.8
187,Ath Madrid,Compostela,3,0,H,1.0,0.0,H,1.6,0.8,1.4,0.4
188,Celta,Oviedo,1,0,H,0.0,0.0,D,1.0,0.4,1.0,1.4
189,Espanol,Betis,1,1,D,1.0,0.0,H,1.4,0.8,1.8,1.0
190,Merida,Zaragoza,1,1,D,1.0,0.0,H,0.4,1.4,1.8,1.4
191,Santander,Salamanca,2,1,H,1.0,1.0,D,0.4,1.6,1.8,1.8
192,Sevilla,Barcelona,1,0,H,1.0,0.0,H,1.0,1.2,1.4,1.0
193,Sociedad,Tenerife,0,1,A,0.0,0.0,D,1.2,1.6,1.8,1.8
194,Sp Gijon,Valencia,1,3,A,0.0,1.0,A,0.4,1.4,1.6,1.0
195,Valladolid,Vallecano,1,1,D,0.0,0.0,D,1.4,2.4,0.6,1.8
196,La Coruna,Real Madrid,3,0,H,3.0,0.0,H,2.6,0.8,1.4,0.8
197,Vallecano,Merida,4,1,H,3.0,0.0,H,0.4,2.0,0.6,1.4
198,Valencia,Sevilla,1,0,H,0.0,0.0,D,1.8,0.8,1.0,1.2
199,Real Madrid,Valladolid,4,1,H,3.0,1.0,H,1.2,1.4,1.4,2.4
200,Oviedo,La Coruna,0,2,A,0.0,0.0,D,0.6,1.4,3.2,0.8
201,Tenerife,Santander,2,0,H,1.0,0.0,H,1.6,1.4,0.6,1.4
202,Betis,Celta,0,3,A,0.0,0.0,D,1.4,1.0,1.0,0.2
203,Compostela,Sp Gijon,1,0,H,1.0,0.0,H,1.4,1.0,0.6,1.6
204,Albacete,Sociedad,3,5,A,2.0,3.0,A,2.0,2.0,1.0,1.2
205,Salamanca,Ath Madrid,1,3,A,0.0,0.0,D,2.0,2.2,2.2,0.6
206,Ath Bilbao,Zaragoza,1,0,H,0.0,0.0,D,1.2,1.8,2.0,1.4
207,Barcelona,Espanol,2,1,H,1.0,0.0,H,0.8,1.2,1.4,1.0
208,Ath Bilbao,Sociedad,0,0,D,0.0,0.0,D,1.2,1.4,1.8,1.6
209,Ath Madrid,Tenerife,3,1,H,1.0,0.0,H,2.2,0.8,1.8,1.2
210,Celta,Barcelona,1,0,H,0.0,0.0,D,1.2,0.2,1.0,1.2
211,La Coruna,Betis,0,0,D,0.0,0.0,D,3.0,0.6,1.4,1.6
212,Merida,Real Madrid,2,2,D,1.0,2.0,A,0.8,1.8,2.0,1.6
213,Santander,Albacete,5,5,D,2.0,2.0,D,0.6,1.8,2.4,2.4
214,Sevilla,Compostela,0,1,A,0.0,0.0,D,0.8,1.4,1.4,0.8
215,Sp Gijon,Salamanca,3,2,H,2.0,1.0,H,0.6,1.8,1.8,2.6
216,Valladolid,Oviedo,2,2,D,2.0,2.0,D,1.4,2.6,0.6,1.2
217,Zaragoza,Vallecano,1,1,D,1.0,0.0,H,1.8,1.4,1.2,2.0
218,Espanol,Valencia,2,0,H,1.0,0.0,H,1.4,1.2,1.4,0.6
219,Betis,Valladolid,3,0,H,0.0,0.0,D,1.0,1.4,1.6,2.6
220,Albacete,Ath Madrid,1,1,D,0.0,0.0,D,3.2,2.8,2.6,0.6
221,Tenerife,Sp Gijon,3,0,H,1.0,0.0,H,1.6,1.6,1.2,2.0
222,Vallecano,Ath Bilbao,2,2,D,0.0,1.0,A,1.2,2.2,0.8,1.2
223,Sociedad,Santander,2,1,H,1.0,0.0,H,1.6,1.6,1.4,2.6
224,Salamanca,Sevilla,4,1,H,2.0,0.0,H,2.0,2.8,0.6,0.8
225,Valencia,Celta,3,0,H,1.0,0.0,H,1.4,0.8,1.4,0.2
226,Oviedo,Merida,0,0,D,0.0,0.0,D,0.8,1.6,1.2,1.8
227,Compostela,Espanol,2,1,H,1.0,1.0,D,1.0,0.6,1.8,1.0
228,Real Madrid,Zaragoza,2,2,D,0.0,1.0,A,1.6,1.8,2.0,1.6
